Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW 3-Series,2020,2.0 л (190 л.с.),дизель,АКПП,4WD,68 000 км,3 850 000,Красноярск
BMW 3-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,130 300 км,3 730 000,Воронеж
BMW X5,2024,3.0 л (381 л.с.),бензин,АКПП,4WD,7 600 км,15 100 000,Владикавказ
BMW 5-Series,2019,2.0 л (184 л.с.),бензин,АКПП,задний,113 000 км,3 600 000,Благовещенск
BMW 5-Series,2004,4.4 л (333 л.с.),бензин,АКПП,задний,285 000 км,720 000,Ростов-на-Дону
BMW 3-Series,2009,2.5 л (218 л.с.),бензин,АКПП,4WD,202 000 км,1 400 000,Москва
BMW X3,2024,2.0 л (252 л.с.),бензин,АКПП,4WD,21 798 км,6 278 000,Краснодар
BMW 3-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,125 000 км,3 250 000,Москва
BMW X3,2013,2.0 л (245 л.с.),бензин,АКПП,4WD,121 300 км,1 900 000,Москва
BMW 1-Series,2011,1.6 л (116 л.с.),бензин,АКПП,задний,343 500 км,739 000,Челябинск
BMW 7-Series,2010,3.0 л (245 л.с.),дизель,АКПП,задний,299 000 км,2 100 000,Сергиев Посад
BMW 1-Series,2012,1.6 л (136 л.с.),бензин,АКПП,задний,166 000 км,1 100 000,Железнодорожный
BMW X7,2025,4.4 л (530 л.с.),гибрид,АКПП,4WD,1 250 км,18 890 000,Москва
BMW X7,2022,3.0 л (381 л.с.),гибрид,АКПП,4WD,85 054 км,10 990 000,Москва
BMW X7,2022,3.0 л (381 л.с.),гибрид,АКПП,4WD,15 768 км,12 390 000,Москва
BMW X7,2022,3.0 л (381 л.с.),гибрид,АКПП,4WD,40 498 км,11 990 000,Москва
BMW X5,2004,4.4 л (320 л.с.),бензин,АКПП,4WD,300 000 км,1 000 000,Талинка
BMW X5,2016,3.0 л (249 л.с.),дизель,АКПП,4WD,114 000 км,3 700 000,Москва
BMW 5-Series,2010,2.5 л (204 л.с.),бензин,АКПП,задний,273 000 км,1 610 000,Тула
BMW 3-Series,2013,1.6 л (136 л.с.),бензин,АКПП,задний,208 000 км,1 470 000,Минеральные Воды
BMW X6,2010,4.4 л (408 л.с.),бензин,АКПП,4WD,123 600 км,1 700 000,Барнаул
BMW 3-Series,2017,1.5 л (136 л.с.),бензин,АКПП,задний,36 800 км,1 999 999,Барнаул
BMW X7,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,65 000 км,9 000 000,Новосибирск
BMW 5-Series,2020,3.0 л (340 л.с.),бензин,АКПП,задний,65 000 км,5 600 000,Симферополь
BMW 3-Series,2001,2.2 л (170 л.с.),бензин,АКПП,задний,222 222 км,320 000,Санкт-Петербург
BMW 1-Series,2013,1.6 л (136 л.с.),бензин,АКПП,задний,123 000 км,1 250 000,Санкт-Петербург
BMW X5,2001,4.4 л (286 л.с.),бензин,АКПП,4WD,286 000 км,1 000 000,Асино
BMW 6-Series,2003,4.4 л (333 л.с.),бензин,АКПП,задний,220 000 км,1 000 000,Бердск
BMW X3,2006,3.0 л (218 л.с.),дизель,АКПП,4WD,10 000 км,560 000,Москва
BMW 3-Series,2020,2.0 л (184 л.с.),бензин,АКПП,задний,80 000 км,4 000 000,Чебоксары
BMW 1-Series,2015,1.5 л (136 л.с.),бензин,АКПП,задний,131 250 км,1 300 000,Томск
BMW X1,2013,2.0 л (184 л.с.),бензин,АКПП,4WD,182 000 км,1 350 000,Уфа
BMW X3,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,67 000 км,4 850 000,Кыштым
BMW 5-Series,2019,3.0 л (265 л.с.),дизель,АКПП,4WD,140 280 км,4 400 000,Казань
BMW X3,2014,2.0 л (184 л.с.),бензин,АКПП,4WD,192 297 км,1 850 000,Екатеринбург
BMW 5-Series,2011,2.5 л (204 л.с.),бензин,АКПП,задний,181 000 км,1 690 000,Москва
BMW XM,2023,4.4 л (489 л.с.),гибрид,АКПП,4WD,29 370 км,20 600 000,Новосибирск
BMW X7,2025,3.0 л (352 л.с.),гибрид,АКПП,4WD,4 997 км,17 595 000,Новосибирск
BMW X3,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,62 512 км,4 890 000,Новосибирск
BMW X6,2020,4.4 л (625 л.с.),бензин,АКПП,4WD,40 000 км,13 000 000,Новосибирск
BMW 3-Series,2021,2.0 л (190 л.с.),дизель,АКПП,4WD,81 000 км,4 400 000,Краснодар
BMW X7,2020,3.0 л (340 л.с.),гибрид,АКПП,4WD,117 485 км,7 890 000,Краснодар
BMW X5,2020,3.0 л (286 л.с.),дизель,АКПП,4WD,91 861 км,7 949 000,Тюмень
BMW X5,2005,3.0 л (218 л.с.),дизель,АКПП,4WD,330 000 км,1 500 000,Дмитров
BMW 5-Series,2008,3.0 л (272 л.с.),бензин,АКПП,4WD,222 915 км,1 124 000,Тюмень
BMW 7-Series,2018,3.0 л (326 л.с.),бензин,АКПП,4WD,119 424 км,3 999 000,Тюмень
BMW 4-Series,2017,2.0 л (150 л.с.),дизель,АКПП,задний,153 745 км,2 849 000,Тюмень
BMW 5-Series,2015,2.0 л (245 л.с.),бензин,АКПП,4WD,147 617 км,2 399 000,Тюмень
BMW 3-Series Gran Turismo,2014,2.0 л (184 л.с.),бензин,АКПП,4WD,177 500 км,1 984 000,Тюмень
BMW 8-Series,2020,3.0 л (340 л.с.),дизель,автомат,4WD,52 350 км,7 995 000,Новосибирск
