title,price,year,body_type,volume,fuel,gearbox,type
BMW X5,7 500 000 ₸,2003,кроссовер,4.4,бензин,автомат,Б/у
BMW i3,19 000 000 ₸,2023,седан,эектричество,КПП автомат,с пробегом 28 755 км,Б/у
BMW X5,10 400 000 ₸,2011,кроссовер,3,бензин,автомат,Б/у
BMW 328,2 350 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW 520,1 200 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,1989
BMW X5,67 000 000 ₸,2024,кроссовер,3,гибрид,автомат,Б/у
BMW 735,3 000 000 ₸,2002,седан,3.6,бензин,автомат,Б/у
BMW 525,1 800 000 ₸,1995,седан,2.5,бензин,автомат,Б/у
BMW 530,6 000 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 730,2 000 000 ₸,1995,седан,3,бензин,механика,Б/у
BMW 520,800 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 320,4 000 000 ₸,2001,седан,2.2,бензин,автомат,Б/у
BMW X5,8 300 000 ₸,2007,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 200 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 540,21 000 000 ₸,2018,седан,3,бензин,автомат,Б/у
BMW 325,3 800 000 ₸,2004,седан,2.5,бензин,автомат,Б/у
BMW 525,850 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 430,14 500 000 ₸,2017,лифтбек,2,бензин,автомат,Б/у
BMW 323,2 300 000 ₸,1996,седан,2.5,бензин,механика,Б/у
BMW 330,2 700 000 ₸,2002,седан,3,бензин,механика,Б/у
BMW X6,10 500 000 ₸,2010,кроссовер,3,бензин,автомат,Б/у
BMW 325,6 000 000 ₸,2006,седан,2.5,бензин,автомат,Б/у
BMW X5,15 500 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW X6,19 500 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW X6,19 500 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 528,10 500 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW X5,38 000 000 ₸,2024,кроссовер,3,бензин,автомат,Б/у
BMW 750,5 550 000 ₸,2006,седан,4.8,бензин,автомат,Б/у
BMW 518,1 600 000 ₸,1991,седан,1.8,бензин,механика,Б/у
BMW 540,5 500 000 ₸,1992,универсал,4.6,бензин,механика,Б/у
BMW X6,9 000 000 ₸,2010,кроссовер,3,дизель,автомат,Б/у
BMW 328,1 700 000 ₸,1993,седан,2.8,бензин,механика,Б/у
BMW 530,16 900 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 528,3 000 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 525,1 400 000 ₸,1997,седан,2.5,бензин,механика,Б/у
BMW 525,1 800 000 ₸,1994,седан,2.8,бензин,механика,Б/у
BMW X5,17 200 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 328,2 700 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,17 000 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 528,11 700 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW X5,9 200 000 ₸,2015,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 300 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 528,3 200 000 ₸,1996,седан,2.8,бензин,механика,Б/у
BMW 530,18 000 000 ₸,2018,седан,2,бензин,автомат,Б/у
BMW X5,7 000 000 ₸,2012,кроссовер,3,бензин,автомат,Б/у
BMW 530,2 500 000 ₸,1993,седан,3,газ-бензин,автомат,Б/у
BMW X3,31 000 000 ₸,2022,кроссовер,2,бензин,автомат,Б/у
BMW X5,52 000 000 ₸,2023,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 600 000 ₸,1994,седан,2,бензин,автомат,Б/у
BMW X7,42 000 000 ₸,2022,кроссовер,3,бензин,автомат,Б/у
BMW 535,13 500 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW 525,3 500 000 ₸,1993,седан,2.5,бензин,автомат,Б/у
BMW X5,18 000 000 ₸,2016,кроссовер,4.4,бензин,автомат,Б/у
BMW 525,1 500 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW 540,16 000 000 ₸,2017,седан,3,бензин,автомат,Б/у
BMW 530,6 500 000 ₸,2003,седан,3,бензин,автомат,Б/у
BMW X5,4 000 000 ₸,2000,кроссовер,4.4,бензин,автомат,Б/у
BMW 325,1 111 111 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW 528,2 500 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW X6,8 000 000 ₸,2008,кроссовер,3,бензин,автомат,Б/у
BMW 525,5 000 000 ₸,2003,универсал,2.5,бензин,автомат,Б/у
BMW X5,5 200 000 ₸,2002,кроссовер,3,бензин,автомат,Б/у
BMW X5,4 500 000 ₸,2004,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,2 900 000 ₸,1996,седан,2,бензин,механика,Б/у
BMW X5,11 000 000 ₸,2010,кроссовер,3,бензин,автомат,Б/у
BMW Gran Turismo,8 500 000 ₸,2009,лифтбек,3,бензин,автомат,Б/у
BMW 530,6 000 000 ₸,2007,седан,3,бензин,автомат,Б/у
BMW 740,9 800 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW X5,10 200 000 ₸,2011,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 350 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 730,5 400 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 525,1 700 000 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW 520,21 500 000 ₸,2022,седан,2,бензин,автомат,Б/у
BMW 525,2 700 000 ₸,1999,седан,2.5,бензин,механика,Б/у
BMW 528,2 200 000 ₸,1991,седан,2.8,бензин,механика,Б/у
BMW X5,60 999 999 ₸,2024,кроссовер,3,бензин,автомат,Б/у
BMW 530,16 500 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW X6,18 500 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 500 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 520,2 500 000 ₸,1995,седан,2,бензин,автомат,Б/у
BMW X5,16 500 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 525,2 800 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW 530,16 800 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW X5,46 000 000 ₸,2023,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 550 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 528,9 000 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW 540,4 800 000 ₸,1993,седан,4,бензин,механика,Б/у
BMW 525,2 800 000 ₸,1983,седан,2.5,бензин,механика,Б/у
BMW 435,14 500 000 ₸,2015,лифтбек,3,бензин,автомат,Б/у
BMW 320,1 000 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW X7,74 000 000 ₸,2024,кроссовер,3,бензин,автомат,Б/у
BMW 530,4 900 000 ₸,2000,седан,3,бензин,автомат,Б/у
BMW 528,2 000 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW 525,2 200 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 318,850 000 ₸,1990,седан,1.8,бензин,механика,Б/у
BMW i3,10 824 890 ₸,2022,седан,эектричество,КПП автомат,с пробегом 9 000 км,Б/у
BMW 525,1 400 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW X1,24 000 000 ₸,2024,кроссовер,2,бензин,робот,Б/у
BMW 525,3 850 000 ₸,2001,седан,2.5,бензин,автомат,Б/у
BMW X6,20 000 000 ₸,2015,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,1 200 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 540,29 999 999 ₸,2021,седан,3,бензин,автомат,Б/у
BMW 318,2 500 000 ₸,2000,седан,1.9,бензин,механика,Б/у
BMW 330,10 000 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 530,6 200 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 318,5 500 000 ₸,2003,седан,2,бензин,механика,Б/у
BMW 528,2 700 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 728,3 000 000 ₸,2000,седан,2.8,бензин,автомат,Б/у
BMW 528,3 082 242 ₸,1998,седан,2.8,бензин,автомат,Б/у
BMW 318,5 100 000 ₸,2009,седан,2,бензин,автомат,Б/у
BMW 316,2 100 000 ₸,1995,седан,1.6,бензин,механика,Б/у
BMW 650,25 000 000 ₸,2013,седан,4.4,бензин,автомат,Б/у
BMW 520,2 500 000 ₸,1996,седан,2,бензин,механика,Б/у
BMW X5,5 200 000 ₸,2001,кроссовер,3,бензин,автомат,Б/у
BMW 650,25 000 000 ₸,2013,седан,4.4,бензин,автомат,Б/у
BMW 520,2 000 000 ₸,1996,седан,2,бензин,механика,Б/у
BMW 525,8 000 000 ₸,2008,седан,3,бензин,автомат,Б/у
BMW 525,7 500 000 ₸,На заказ,г.,Б/у седан,3 л,бензин,2008
BMW X3,35 000 000 ₸,2023,кроссовер,2,бензин,автомат,Б/у
BMW 730,23 300 000 ₸,2018,седан,3,дизель,автомат,Б/у
BMW 528,8 800 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW 118,3 500 000 ₸,2007,хэтчбек,2,бензин,автомат,Б/у
BMW 750,2 500 000 ₸,2012,седан,4.4,бензин,автомат,Б/у
