Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
bmw 5-series,2010,2.5,petrol,automatic,rear,254000.0,1450000,новосибирск
bmw x5,2020,3.0,diesel,automatic,awd,105039.0,6299000,калининград
bmw 3-series,2011,2.0,petrol,automatic,rear,231790.0,1200000,москва
bmw 3-series,2000,2.0,petrol,manual,rear,400000.0,390000,москва
bmw 1-series,2010,1.6,petrol,automatic,rear,176000.0,750000,апшеронск
bmw 5-series,2011,3.0,petrol,automatic,rear,308000.0,1650000,иркутск
bmw 7-series,2015,4.4,petrol,automatic,awd,164054.0,3980000,краснодар
bmw 3-series,2019,2.0,diesel,automatic,rear,46878.0,4280000,краснодар
bmw x5,2019,3.0,diesel,automatic,awd,144835.0,5444000,краснодар
bmw 3-series,2012,2.0,petrol,automatic,rear,195320.0,1765000,краснодар
bmw 5-series,2002,2.2,petrol,automatic,rear,254000.0,770000,тюмень
bmw 1-series,2011,2.0,petrol,automatic,rear,186000.0,1200000,самара
bmw x5,2008,3.0,diesel,automatic,awd,225000.0,1599999,москва
bmw m4,2021,3.0,petrol,automatic,awd,37350.0,9500000,симферополь
bmw 5-series,2024,2.0,petrol,automatic,awd,15900.0,8200000,симферополь
bmw x5,2020,3.0,diesel,automatic,awd,64000.0,8100000,симферополь
bmw x6,2024,3.0,petrol,automatic,awd,10.0,12999000,нягань
bmw x2,2018,2.0,petrol,automatic,awd,97500.0,2190000,владивосток
bmw x3,2025,2.0,petrol,automatic,awd,,7299000,екатеринбург
bmw 3-series,2013,2.0,diesel,automatic,awd,189000.0,2350000,брянск
bmw 1-series,2011,1.6,petrol,automatic,rear,288500.0,665000,екатеринбург
bmw x6,2025,3.0,petrol,automatic,awd,,12999000,екатеринбург
bmw x5,2008,3.0,petrol,automatic,awd,185758.0,1399000,ярославль
bmw x5,2020,3.0,diesel,automatic,awd,46000.0,6850000,владивосток
bmw x7,2021,3.0,hybrid,automatic,awd,105000.0,6780000,санкт-петербург
bmw 3-series,2022,2.0,petrol,automatic,rear,49000.0,3230000,китай→владивосток
bmw x5,2007,4.8,petrol,automatic,awd,215.0,1850000,молодежный
bmw x6,2023,3.0,diesel,automatic,awd,36000.0,11000000,омск
bmw 6-series,2007,3.0,petrol,automatic,rear,316000.0,1080000,жаворонки
bmw x5,2002,3.0,petrol,manual,awd,228700.0,1100000,шелехов
bmw 7-series,1992,3.0,petrol,manual,rear,200000.0,190000,краснодар
bmw x3,2005,3.0,petrol,automatic,awd,307055.0,670000,екатеринбург
bmw 4-series,2015,3.0,petrol,automatic,awd,180000.0,2650000,санкт-петербург
bmw x1,2013,2.0,petrol,automatic,awd,237432.0,1560000,воронеж
bmw 3-series,2016,1.5,petrol,automatic,rear,91791.0,1489999,кемерово
bmw 6-series,2007,3.0,petrol,automatic,rear,170000.0,1000000,волгоград
bmw x4,2021,2.0,petrol,automatic,awd,109650.0,4870000,ростов-на-дону
bmw 5-series,2006,2.5,petrol,automatic,rear,200000.0,1100000,омск
bmw 3-series,2010,2.0,petrol,automatic,rear,160648.0,1350000,краснодар
bmw x5,2013,3.0,diesel,automatic,awd,249000.0,2649000,кемерово
bmw 1-series,2012,1.6,petrol,automatic,rear,293000.0,990000,симферополь
bmw 5-series,1998,2.0,petrol,manual,rear,380000.0,420000,клин
bmw 3-series,2003,2.5,petrol,automatic,rear,120000.0,650000,иркутск
bmw 3-series,2007,2.0,petrol,automatic,rear,130000.0,890000,новокузнецк
bmw x5,2025,3.0,diesel,automatic,awd,,14990000,санкт-петербург
bmw x1,2016,2.0,petrol,automatic,awd,167000.0,1887000,новокузнецк
bmw 2-series,2020,1.5,petrol,robot,front,36380.0,2050000,владивосток
bmw 3-series,2008,2.5,petrol,automatic,rear,300000.0,950000,карталы
bmw x6,2021,3.0,petrol,automatic,awd,44800.0,9490000,новосибирск
bmw x4,2024,2.0,petrol,automatic,awd,19210.0,6500000,новосибирск
bmw x1,2018,1.5,petrol,robot,front,74733.0,2299000,яблоновский
bmw 5-series,2020,2.0,petrol,automatic,rear,86889.0,4599000,яблоновский
bmw x6,2015,3.0,diesel,automatic,awd,199200.0,3290000,екатеринбург
bmw x3,2007,3.0,petrol,automatic,awd,,585000,кирово-чепецк
bmw 3-series,2014,1.6,petrol,automatic,rear,134352.0,1400000,краснодар
bmw x3,2012,3.0,diesel,automatic,awd,140000.0,1800000,барнаул
bmw x5,2010,3.0,petrol,automatic,awd,223164.0,1775000,красноярск
bmw 3-series,2012,2.0,petrol,automatic,rear,240000.0,2100000,тюмень
bmw 7-series,2019,3.0,diesel,automatic,awd,78100.0,5300000,иркутск
bmw m5,2024,4.4,hybrid,automatic,awd,6000.0,18500000,иркутск
bmw 5-series,2020,2.0,petrol,automatic,rear,103000.0,4350000,хабаровск
bmw 3-series,2019,2.0,diesel,automatic,rear,140000.0,1821000,санкт-петербург
bmw 1-series,2012,1.6,petrol,automatic,rear,166890.0,970000,красноярск
bmw x5,2007,3.0,diesel,automatic,awd,397139.0,1400000,воронеж
bmw 5-series,2013,2.0,diesel,automatic,awd,223896.0,1743000,москва
bmw x3,2013,2.0,petrol,automatic,awd,222388.0,1980000,екатеринбург
bmw 3-series,1992,1.6,petrol,manual,rear,300000.0,190000,тюмень
bmw x3,2012,2.0,petrol,automatic,awd,139000.0,2090000,сургут
bmw 5-series,1995,2.5,diesel,manual,rear,490000.0,550000,евпатория
bmw x5,2019,3.0,diesel,automatic,awd,115000.0,5850000,краснодар
bmw 3-series,2020,2.0,diesel,automatic,awd,213563.0,3300000,иркутск
bmw 5-series,2017,2.0,diesel,automatic,rear,97000.0,3199000,красноярск
bmw 1-series,2010,1.6,petrol,automatic,rear,137937.0,880000,кемерово
bmw 7-series,2019,3.0,diesel,automatic,awd,111581.0,5690000,москва
bmw x7,2022,3.0,hybrid,automatic,awd,61587.0,11900000,москва
bmw 1-series,2010,1.6,petrol,automatic,rear,202500.0,750000,санкт-петербург
bmw x7,2025,3.0,petrol,automatic,awd,,16250000,ростов-на-дону
bmw x5,2006,4.4,petrol,automatic,awd,277000.0,1000000,североуральск
bmw 2-series gran tourer,2016,1.5,petrol,automatic,front,116500.0,1300000,владивосток
bmw 5-series,2019,2.0,diesel,automatic,awd,100000.0,4300000,хабаровск
bmw 5-series,2021,2.0,diesel,automatic,awd,158331.0,4390000,симферополь
bmw 5-series,2005,3.0,petrol,automatic,rear,120000.0,2560000,миллерово
bmw x4,2019,2.0,diesel,automatic,awd,55000.0,4250000,хабаровск
bmw 3-series,2016,1.5,petrol,automatic,rear,220000.0,1450000,бахчисарай
bmw x3,2018,2.0,diesel,automatic,awd,98666.0,4236000,москва
bmw 3-series,2017,2.0,diesel,automatic,awd,215.0,2900000,кемерово
bmw 3-series,2008,2.5,petrol,automatic,awd,213.0,585000,челябинск
bmw 3-series,2006,2.5,petrol,automatic,rear,350000.0,470000,москва
bmw x3,2019,2.0,diesel,automatic,awd,180000.0,3550000,москва
bmw 5-series,1999,2.5,petrol,automatic,rear,388848.0,450000,пермь
bmw 1-series,2012,1.6,petrol,automatic,rear,274000.0,1200000,тольятти
bmw x6,2021,3.0,diesel,automatic,awd,74000.0,7300000,краснодар
bmw x5,2003,4.6,petrol,automatic,awd,250000.0,500000,дигора
bmw x1,2011,2.0,petrol,automatic,rear,144000.0,1300000,моздок
